series_id,series_name,source_name,country_id,country_name,region,income_group,year,value
5976,GDP at market prices (current $US),"World Bank, World Development Indicators (WDI)",400,Jordan,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),1990,4160003917.43258
5976,GDP at market prices (current $US),"World Bank, World Development Indicators (WDI)",400,Jordan,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),1991,4344250257.01278
5976,GDP at market prices (current $US),"World Bank, World Development Indicators (WDI)",400,Jordan,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),1992,5311329067.37276
5976,GDP at market prices (current $US),"World Bank, World Development Indicators (WDI)",400,Jordan,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),1993,5605841535.57512
5976,GDP at market prices (current $US),"World Bank, World Development Indicators (WDI)",400,Jordan,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),1994,6237739516.24445
5976,GDP at market prices (current $US),"World Bank, World Development Indicators (WDI)",400,Jordan,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),1995,6727446632.42009
5976,GDP at market prices (current $US),"World Bank, World Development Indicators (WDI)",400,Jordan,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),1996,6928359238.36389
5976,GDP at market prices (current $US),"World Bank, World Development Indicators (WDI)",400,Jordan,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),1997,7246188575.45839
5976,GDP at market prices (current $US),"World Bank, World Development Indicators (WDI)",400,Jordan,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),1998,7912327362.48237
5976,GDP at market prices (current $US),"World Bank, World Development Indicators (WDI)",400,Jordan,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),1999,8149106064.88011
5976,GDP at market prices (current $US),"World Bank, World Development Indicators (WDI)",400,Jordan,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2000,8460424400.56418
5976,GDP at market prices (current $US),"World Bank, World Development Indicators (WDI)",400,Jordan,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2001,8975689844.8519
5976,GDP at market prices (current $US),"World Bank, World Development Indicators (WDI)",400,Jordan,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2002,9582453032.44006
5976,GDP at market prices (current $US),"World Bank, World Development Indicators (WDI)",400,Jordan,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2003,10195660789.8449
5976,GDP at market prices (current $US),"World Bank, World Development Indicators (WDI)",400,Jordan,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2004,11411390409.0268
5976,GDP at market prices (current $US),"World Bank, World Development Indicators (WDI)",400,Jordan,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2005,12588665303.244
5976,GDP at market prices (current $US),"World Bank, World Development Indicators (WDI)",400,Jordan,Middle East and North Africa,Upper Middle Income Country (World Bank Classification),2006,15056929760.2257
